key,工種名,path,インスタンス数,各インスタンス最終直積,縮退発動(最終パス),最大直積,上限,所要秒,エラー
32-10960,【H19】坑外送気管敷設・撤去,C:\ProgramData\CoBeing\GaiaCloud\DB\Bugakari\32\010000\32-10960.20070401.20070401.json,1,2,,2,1000,0.03,
32-3664,大型土のう工,C:\ProgramData\CoBeing\GaiaCloud\DB\Bugakari\32\003000\32-3664.20250401.20250401.json,2,72/144,,144,1000,3.6,
160-1715,組立人孔設置工(市場単価),C:\ProgramData\CoBeing\GaiaCloud\DB\Bugakari\160\001000\160-1715.20240401.20241001.json,1,2,,2,1000,0.43,
32-657,鋼矢板賃料(本矢板、軽量矢板),C:\ProgramData\CoBeing\GaiaCloud\DB\Bugakari\32\000000\32-657.20250401.20250401.json,1,64,,64,1000,8.14,
32-29952,のり面仕上げ(ICT)保守点検費,C:\ProgramData\CoBeing\GaiaCloud\DB\Bugakari\32\029000\32-29952.20240401.20240401.json,1,2,,2,1000,0.03,
32-15056,計画準備,C:\ProgramData\CoBeing\GaiaCloud\DB\Bugakari\32\015000\32-15056.20150401.20150401.json,1,2,,2,1000,0.02,
32-30276,床掘り(省人化),C:\ProgramData\CoBeing\GaiaCloud\DB\Bugakari\32\030000\32-30276.20260401.20260401.json,1,12,,12,1000,0.11,
5771-671,発生土運搬工 下水道用(2t車 0.13m3BH 硬岩 6.5km以下 DID有),C:\ProgramData\CoBeing\GaiaCloud\DB\Bugakari\5771\000000\5771-671.20140401.20140501.json,1,1,,1,1000,0.02,
5771-1979,振動ローラ運転 ハンドガイド 0.5～0.6t 透水性舗装用,C:\ProgramData\CoBeing\GaiaCloud\DB\Bugakari\5771\001000\5771-1979.20140401.20140501.json,1,1,,1,1000,0.02,
32-21323,斜材ケーブル展開設備設置・撤去,C:\ProgramData\CoBeing\GaiaCloud\DB\Bugakari\32\021000\32-21323.20250401.20250401.json,1,48,,48,1000,0.32,
32-13694,H形鋼矢板(プレボーリング工),C:\ProgramData\CoBeing\GaiaCloud\DB\Bugakari\32\013000\32-13694.20220401.20220401.json,1,2,,2,1000,0.03,
32-5928,足場設置撤去(市場単価),C:\ProgramData\CoBeing\GaiaCloud\DB\Bugakari\32\005000\32-5928.20250401.20250401.json,1,2,,2,1000,0.17,
32-9836,車上設備工,C:\ProgramData\CoBeing\GaiaCloud\DB\Bugakari\32\009000\32-9836.20050401.20050401.json,1,1,,1,1000,0.02,
32-4298,攪拌混合機運転,C:\ProgramData\CoBeing\GaiaCloud\DB\Bugakari\32\004000\32-4298.20240401.20240401.json,1,20736,YES,20736,1000,1.26,
5771-415,発生土運搬工(10t車 0.8m3BH 軟岩 6.5km以下 DID無),C:\ProgramData\CoBeing\GaiaCloud\DB\Bugakari\5771\000000\5771-415.20140401.20140501.json,1,1,,1,1000,0.02,
6439-236,水5-4　コンプレッサー運転費,C:\ProgramData\CoBeing\GaiaCloud\DB\Bugakari\6439\000000\6439-236.20070401.20071001.json,1,1,,1,1000,0.02,
38-4758,〈C-2-4〉支圧壁工,C:\ProgramData\CoBeing\GaiaCloud\DB\Bugakari\38\004000\38-4758.20220401.20220401.json,1,2,,2,1000,0.08,
224-1280,処理水再利用施設詳細設計,C:\ProgramData\CoBeing\GaiaCloud\DB\Bugakari\224\001000\224-1280.20180401.20180401.json,1,4800,YES,4800,1000,6.99,
32-12900,【R1】B-○-3 反転工,C:\ProgramData\CoBeing\GaiaCloud\DB\Bugakari\32\012000\32-12900.20200401.20210401.json,1,2,,2,1000,0.03,
32-19580,---- 到達鏡切り工(m当り),C:\ProgramData\CoBeing\GaiaCloud\DB\Bugakari\32\019000\32-19580.20180401.20180401.json,1,1,,1,1000,0.02,
224-1303,ポンプ室(詳細診断),C:\ProgramData\CoBeing\GaiaCloud\DB\Bugakari\224\001000\224-1303.20170401.20170401.json,1,2,,2,1000,0.09,
64-184,【H22】新橋継手部現場塗装 上塗(市場単価),C:\ProgramData\CoBeing\GaiaCloud\DB\Bugakari\64\000000\64-184.20160401.20160401.json,1,8,,8,1000,0.09,
