key,工種名,path,インスタンス数,各インスタンス最終直積,縮退発動(最終パス),最大直積,上限,所要秒,エラー
6435-41,【旧】(県・参考)グラブ浚渫船(硬土盤用) 運転,C:\ProgramData\CoBeing\GaiaCloud\DB\Bugakari\6435\000000\6435-41.20180401.20181001.json,1,2,,2,1000,0.18,
32-4759,練石張水路工,C:\ProgramData\CoBeing\GaiaCloud\DB\Bugakari\32\004000\32-4759.20220401.20220401.json,2,4/16,,16,1000,0.12,
5888-75,フランジ継手接合・取り外し,C:\ProgramData\CoBeing\GaiaCloud\DB\Bugakari\5888\000000\5888-75.20250401.20260401.json,1,6,,6,1000,0.29,
5728-68,【H25】(参考)待機補償費 凍結防止剤散布車,C:\ProgramData\CoBeing\GaiaCloud\DB\Bugakari\5728\000000\5728-68.20170401.20171001.json,1,1,,1,1000,0.03,
5809-367,【H23.10】ラス張工,C:\ProgramData\CoBeing\GaiaCloud\DB\Bugakari\5809\000000\5809-367.20180401.20180701.json,1,2,,2,1000,0.04,
5771-1619,人孔底部工 2号人孔 砕石基礎無 均し型枠,C:\ProgramData\CoBeing\GaiaCloud\DB\Bugakari\5771\001000\5771-1619.20140401.20140501.json,1,1,,1,1000,0.03,
224-597,【H22】撮影,C:\ProgramData\CoBeing\GaiaCloud\DB\Bugakari\224\000000\224-597.20100401.20100401.json,1,1,,1,1000,0.03,
38-4956,〈B-1-1〉推進用硬質塩化ビニル管,C:\ProgramData\CoBeing\GaiaCloud\DB\Bugakari\38\004000\38-4956.20220401.20220401.json,1,64,,64,1000,0.24,
5771-1150,歩道本復旧工 開粒度13 t=3cm 振動ローラ 振動コンパクタ,C:\ProgramData\CoBeing\GaiaCloud\DB\Bugakari\5771\001000\5771-1150.20140401.20140501.json,1,1,,1,1000,0.04,
38-666,〈E-3〉ケーシング溶接工,C:\ProgramData\CoBeing\GaiaCloud\DB\Bugakari\38\000000\38-666.20200401.20200401.json,1,1,,1,1000,0.04,
32-30293,中小型トラック(ダブルキャブ),C:\ProgramData\CoBeing\GaiaCloud\DB\Bugakari\32\030000\32-30293.20210401.20210801.json,1,16,,16,1000,0.39,
160-1875,通線工,C:\ProgramData\CoBeing\GaiaCloud\DB\Bugakari\160\001000\160-1875.20170401.20171001.json,1,1,,1,1000,0.03,
32-4610,【H27】バイブロ工法によるコンクリート矢板打込み,C:\ProgramData\CoBeing\GaiaCloud\DB\Bugakari\32\004000\32-4610.20180401.20180401.json,1,32,,32,1000,0.16,
5712-470,消火栓撤去(機械施工),C:\ProgramData\CoBeing\GaiaCloud\DB\Bugakari\5712\000000\5712-470.20210401.20211001.json,1,1,,1,1000,0.04,
224-2802,(個別)特別高圧設備(圧縮空気発生装置),C:\ProgramData\CoBeing\GaiaCloud\DB\Bugakari\224\002000\224-2802.20200401.20201101.json,1,1,,1,1000,0.03,
5809-244,【H23.10】苗木小運搬,C:\ProgramData\CoBeing\GaiaCloud\DB\Bugakari\5809\000000\5809-244.20180401.20180701.json,1,4,,4,1000,0.1,
6136-169,舗装路面とりこわし工,C:\ProgramData\CoBeing\GaiaCloud\DB\Bugakari\6136\000000\6136-169.20170401.20171001.json,1,1,,1,1000,0.06,
32-15588,【H24】土壌流亡等の防止装置,C:\ProgramData\CoBeing\GaiaCloud\DB\Bugakari\32\015000\32-15588.20120401.20120401.json,1,4,,4,1000,0.03,
5776-371,排水ポンプ運転(小口径)(常時排水),C:\ProgramData\CoBeing\GaiaCloud\DB\Bugakari\5776\000000\5776-371.20220401.20221001.json,1,24,,24,1000,0.18,
32-18147,配管 厚鋼電線管(G) 屋外,C:\ProgramData\CoBeing\GaiaCloud\DB\Bugakari\32\018000\32-18147.20180401.20180401.json,1,16,,16,1000,0.2,
32-13848,内装壁モザイクタイル(ユニットタイル マスク張り),C:\ProgramData\CoBeing\GaiaCloud\DB\Bugakari\32\013000\32-13848.20260401.20260401.json,2,40/40,,40,1000,0.29,
6128-321,支障木抜根工,C:\ProgramData\CoBeing\GaiaCloud\DB\Bugakari\6128\000000\6128-321.20240401.20240901.json,1,1,,1,1000,0.04,
160-641,ロープ柵補修(ロープ張直し),C:\ProgramData\CoBeing\GaiaCloud\DB\Bugakari\160\000000\160-641.20170401.20170801.json,1,1,,1,1000,0.04,
6128-320,支障木伐採工(実生木),C:\ProgramData\CoBeing\GaiaCloud\DB\Bugakari\6128\000000\6128-320.20230401.20240101.json,1,1,,1,1000,0.05,
32-10798,吹付プラント設備,C:\ProgramData\CoBeing\GaiaCloud\DB\Bugakari\32\010000\32-10798.20220401.20220401.json,1,1,,1,1000,0.05,
5946-29,PC橋桁落橋防止工(1組当り),C:\ProgramData\CoBeing\GaiaCloud\DB\Bugakari\5946\000000\5946-29.20180401.20181001.json,1,2,,2,1000,0.05,
32-16342,【R1】耐震補強用足場工(ロッキング橋脚耐震補強用),C:\ProgramData\CoBeing\GaiaCloud\DB\Bugakari\32\016000\32-16342.20170401.20170401.json,1,1,,1,1000,0.07,
32-10840,【H17】上半掘削工,C:\ProgramData\CoBeing\GaiaCloud\DB\Bugakari\32\010000\32-10840.20070401.20070401.json,1,20,,20,1000,0.7,
32-123,【H25】基面整正【積上方式】,C:\ProgramData\CoBeing\GaiaCloud\DB\Bugakari\32\000000\32-123.20180401.20180401.json,1,1,,1,1000,0.09,
32-27380,配管 樹脂製ケーブルトラフ,C:\ProgramData\CoBeing\GaiaCloud\DB\Bugakari\32\027000\32-27380.20230401.20230401.json,1,1,,1,1000,0.15,
32-1160,【H24】アスファルト舗装工(機械)【積上方式】,C:\ProgramData\CoBeing\GaiaCloud\DB\Bugakari\32\001000\32-1160.20180401.20180401.json,1,21600,YES,21600,1000,6.61,
32-4167,【H28】マンホール型枠の製作・設置撤去工(円形部),C:\ProgramData\CoBeing\GaiaCloud\DB\Bugakari\32\004000\32-4167.20180401.20180401.json,1,1,,1,1000,0.07,
32-6988,長尺レール貯積台仮設・撤去,C:\ProgramData\CoBeing\GaiaCloud\DB\Bugakari\32\006000\32-6988.20240401.20240401.json,1,8,,8,1000,0.06,
224-216,対策後地盤解析,C:\ProgramData\CoBeing\GaiaCloud\DB\Bugakari\224\000000\224-216.20250401.20250401.json,1,16,,16,1000,0.18,
5938-15,2液混合エポキシ接着剤注入工,C:\ProgramData\CoBeing\GaiaCloud\DB\Bugakari\5938\000000\5938-15.20210401.20211020.json,1,1,,1,1000,0.05,
64-1417,【H26】路面切削工【積上方式】,C:\ProgramData\CoBeing\GaiaCloud\DB\Bugakari\64\001000\64-1417.20180401.20181001.json,1,16,,16,1000,0.46,
32-8162,〈D-60-4〉作泥材,C:\ProgramData\CoBeing\GaiaCloud\DB\Bugakari\32\008000\32-8162.20180401.20180401.json,1,24,,24,1000,0.14,
32-21159,極小規模(小規模)鉄筋探査工,C:\ProgramData\CoBeing\GaiaCloud\DB\Bugakari\32\021000\32-21159.20190401.20190401.json,1,1,,1,1000,0.04,
6350-114,【北九州市】断水広報工(計画断水),C:\ProgramData\CoBeing\GaiaCloud\DB\Bugakari\6350\000000\6350-114.20180401.20181001.json,1,1,,1,1000,0.05,
5771-1426,コンクリート基礎工120°HP-450 CP-450 レミコン18-8-40 砕石基礎無 大型車 小車小運搬,C:\ProgramData\CoBeing\GaiaCloud\DB\Bugakari\5771\001000\5771-1426.20140401.20140501.json,1,1,,1,1000,0.03,
64-3252,木材チップ舗装,C:\ProgramData\CoBeing\GaiaCloud\DB\Bugakari\64\003000\64-3252.20230401.20231101.json,1,8,,8,1000,0.06,
5808-137,かき起こし(ため池工事) ,C:\ProgramData\CoBeing\GaiaCloud\DB\Bugakari\5808\000000\5808-137.20240401.20240701.json,1,1,,1,1000,0.03,
6112-9,法面保護シート,C:\ProgramData\CoBeing\GaiaCloud\DB\Bugakari\6112\000000\6112-9.20170401.20170801.json,1,2,,2,1000,0.04,
160-1496,横断・転落防止柵撤去(市場単価),C:\ProgramData\CoBeing\GaiaCloud\DB\Bugakari\160\001000\160-1496.20240401.20250201.json,1,48,,48,1000,0.37,
160-263,仮設材等運搬費(t),C:\ProgramData\CoBeing\GaiaCloud\DB\Bugakari\160\000000\160-263.20190401.20191001.json,2,48/96,,96,1000,1.19,
32-5752,ガットバージ 供用,C:\ProgramData\CoBeing\GaiaCloud\DB\Bugakari\32\005000\32-5752.20210401.20210401.json,1,1,,1,1000,0.05,
38-4919,〈B-13〉ケーシング類撤去工,C:\ProgramData\CoBeing\GaiaCloud\DB\Bugakari\38\004000\38-4919.20220401.20220401.json,2,1/2,,2,1000,0.04,
32-486,【H25】止杭打込費【積上方式】,C:\ProgramData\CoBeing\GaiaCloud\DB\Bugakari\32\000000\32-486.20180401.20180401.json,1,16,,16,1000,0.11,
5920-14,コンクリート張基礎工,C:\ProgramData\CoBeing\GaiaCloud\DB\Bugakari\5920\000000\5920-14.20170401.20170701.json,1,1,,1,1000,0.04,
5928-1176,【H25.10】石張り舗装工 IH-RA 小規模-2,C:\ProgramData\CoBeing\GaiaCloud\DB\Bugakari\5928\001000\5928-1176.20170401.20180401.json,1,1,,1,1000,0.08,
6439-393,水17-39　不断水分岐工(副弁付),C:\ProgramData\CoBeing\GaiaCloud\DB\Bugakari\6439\000000\6439-393.20070401.20071001.json,1,1,,1,1000,0.08,
6373-298,本体設置工(貯水槽吊込据付),C:\ProgramData\CoBeing\GaiaCloud\DB\Bugakari\6373\000000\6373-298.20260401.20260401.json,1,4,,4,1000,0.16,
5713-101,設置式地下支柱,C:\ProgramData\CoBeing\GaiaCloud\DB\Bugakari\5713\000000\5713-101.20200401.20210501.json,1,1,,1,1000,0.05,
6439-415,超速硬流動性モルタル工(呼び径600),C:\ProgramData\CoBeing\GaiaCloud\DB\Bugakari\6439\000000\6439-415.20070401.20071001.json,1,1,,1,1000,0.03,
6154-403,【H26】小口径塩ビマンホール設置工,C:\ProgramData\CoBeing\GaiaCloud\DB\Bugakari\6154\000000\6154-403.20140401.20141001.json,1,2,,2,1000,0.07,
32-21139,補強ケーブル組立工,C:\ProgramData\CoBeing\GaiaCloud\DB\Bugakari\32\021000\32-21139.20180401.20180401.json,1,1,,1,1000,0.02,
6130-848,診断,C:\ProgramData\CoBeing\GaiaCloud\DB\Bugakari\6130\000000\6130-848.20240401.20240801.json,1,1,,1,1000,0.03,
32-18090,機械損料 アースオーガーD-500,C:\ProgramData\CoBeing\GaiaCloud\DB\Bugakari\32\018000\32-18090.20260401.20260401.json,1,1,,1,1000,0.06,
6439-466,(県・参考)ライザー管建て込み,C:\ProgramData\CoBeing\GaiaCloud\DB\Bugakari\6439\000000\6439-466.20220401.20221001.json,1,1,,1,1000,0.02,
32-14990,【H25】設計計画,C:\ProgramData\CoBeing\GaiaCloud\DB\Bugakari\32\014000\32-14990.20150401.20150401.json,1,2,,2,1000,0.03,
32-1029,コンクリート締固め・打継面清掃,C:\ProgramData\CoBeing\GaiaCloud\DB\Bugakari\32\001000\32-1029.20210401.20210401.json,1,1,,1,1000,0.04,
5928-1061,【H30.10】照明灯(丸型)工 CMHL-A21RS 110W 植栽地用(旧),C:\ProgramData\CoBeing\GaiaCloud\DB\Bugakari\5928\001000\5928-1061.20180401.20181001.json,1,1,,1,1000,0.03,
6250-135,【H24】機械器具損料(滑材注入工),C:\ProgramData\CoBeing\GaiaCloud\DB\Bugakari\6250\000000\6250-135.20180401.20180701.json,2,30/60,,60,1000,0.62,
6352-33,機材運搬費,C:\ProgramData\CoBeing\GaiaCloud\DB\Bugakari\6352\000000\6352-33.20170401.20170730.json,1,1,,1,1000,0.04,
64-7,火薬庫類の営繕損料,C:\ProgramData\CoBeing\GaiaCloud\DB\Bugakari\64\000000\64-7.20180401.20180401.json,1,8,,8,1000,0.07,
32-18440,表示器,C:\ProgramData\CoBeing\GaiaCloud\DB\Bugakari\32\018000\32-18440.20180401.20180401.json,1,12,,12,1000,0.2,
160-658,【H24】中低木徒長枝せん定,C:\ProgramData\CoBeing\GaiaCloud\DB\Bugakari\160\000000\160-658.20180401.20180801.json,1,12,,12,1000,0.12,
32-11565,輸送費 ダム管理設備(係船設備),C:\ProgramData\CoBeing\GaiaCloud\DB\Bugakari\32\011000\32-11565.20170401.20170401.json,1,1,,1,1000,0.04,
32-7233,【H30】フェンス(金網柵)基礎ブロック設置,C:\ProgramData\CoBeing\GaiaCloud\DB\Bugakari\32\007000\32-7233.20180401.20180401.json,1,8,,8,1000,0.08,
32-17108,      集水ます       〈Dc￣(Sp)〉,C:\ProgramData\CoBeing\GaiaCloud\DB\Bugakari\32\017000\32-17108.20240401.20240401.json,1,12,,12,1000,0.74,
38-829,〈D-13-5〉立坑鋼材搬出入工(既設構造物),C:\ProgramData\CoBeing\GaiaCloud\DB\Bugakari\38\000000\38-829.20200401.20200401.json,1,2,,2,1000,0.12,
32-17389,トンネル掘削(NATM)爆破 - 側壁導坑、避難連絡坑,C:\ProgramData\CoBeing\GaiaCloud\DB\Bugakari\32\017000\32-17389.20260401.20260401.json,1,2,,2,1000,0.61,
32-15496,【H25.5】庭木の剪定,C:\ProgramData\CoBeing\GaiaCloud\DB\Bugakari\32\015000\32-15496.20170401.20170401.json,1,2,,2,1000,0.04,
6368-88,【H16】捨石削孔(ボーリングマシン運転),C:\ProgramData\CoBeing\GaiaCloud\DB\Bugakari\6368\000000\6368-88.20170401.20171001.json,1,1,,1,1000,0.03,
32-26557,数値図化,C:\ProgramData\CoBeing\GaiaCloud\DB\Bugakari\32\026000\32-26557.20260401.20260401.json,1,8,,8,1000,0.09,
32-18324,交通量計測装置,C:\ProgramData\CoBeing\GaiaCloud\DB\Bugakari\32\018000\32-18324.20170401.20170401.json,1,1,,1,1000,0.07,
224-3206,(個別)発動発電機(ディーゼル:1000kVA以下)(発電機盤・制御盤),C:\ProgramData\CoBeing\GaiaCloud\DB\Bugakari\224\003000\224-3206.20200401.20201101.json,1,1,,1,1000,0.04,
6144-211,NGMF型(GF型用),C:\ProgramData\CoBeing\GaiaCloud\DB\Bugakari\6144\000000\6144-211.20180401.20181101.json,2,6/18,,18,1000,0.23,
6339-520,【福岡市】【H23】人孔用鋼製短矩形型枠(改築),C:\ProgramData\CoBeing\GaiaCloud\DB\Bugakari\6339\000000\6339-520.20170401.20171001.json,1,1,,1,1000,0.03,
64-838,【H26】自由断面トンネル掘削機,C:\ProgramData\CoBeing\GaiaCloud\DB\Bugakari\64\000000\64-838.20180401.20181001.json,1,2592,YES,2592,1000,3.9,
5936-218,【H30】暗渠排水管 フィルター材敷設【積上方式】,C:\ProgramData\CoBeing\GaiaCloud\DB\Bugakari\5936\000000\5936-218.20170401.20171001.json,1,8,,8,1000,0.14,
6136-74,導水パイプ設置工,C:\ProgramData\CoBeing\GaiaCloud\DB\Bugakari\6136\000000\6136-74.20230401.20231001.json,1,2,,2,1000,0.05,
38-5102,〈C-512-1〉濁水処理装置(KT2A0)設置撤去洗浄,C:\ProgramData\CoBeing\GaiaCloud\DB\Bugakari\38\005000\38-5102.20220401.20220401.json,1,1,,1,1000,0.04,
6128-507,【R5】現地踏査資料検討費,C:\ProgramData\CoBeing\GaiaCloud\DB\Bugakari\6128\000000\6128-507.20230401.20230801.json,2,2/4,,4,1000,0.13,
32-86,路床盛土,C:\ProgramData\CoBeing\GaiaCloud\DB\Bugakari\32\000000\32-86.20260401.20260401.json,1,3,,3,1000,0.66,
32-4447,【H23】法面清掃工,C:\ProgramData\CoBeing\GaiaCloud\DB\Bugakari\32\004000\32-4447.20180401.20180401.json,1,1,,1,1000,0.09,
6144-5,除雪ドーザ運転(一般除雪),C:\ProgramData\CoBeing\GaiaCloud\DB\Bugakari\6144\000000\6144-5.20240401.20241001.json,2,18432/36864,YES,36864,1000,32.6,
6136-333,インターロッキング舗装,C:\ProgramData\CoBeing\GaiaCloud\DB\Bugakari\6136\000000\6136-333.20190401.20191001.json,1,2,,2,1000,0.04,
224-1789,細部設計(ケーソン式),C:\ProgramData\CoBeing\GaiaCloud\DB\Bugakari\224\001000\224-1789.20180401.20180401.json,1,3,,3,1000,0.05,
5771-324,発生土運搬工(10t車 0.45m3BH 土砂 3.5km以下 DID無),C:\ProgramData\CoBeing\GaiaCloud\DB\Bugakari\5771\000000\5771-324.20140401.20140501.json,1,1,,1,1000,0.03,
224-2566,(個別)ディジタル多重無線通信装置(128QAM),C:\ProgramData\CoBeing\GaiaCloud\DB\Bugakari\224\002000\224-2566.20200401.20201101.json,1,1,,1,1000,0.13,
160-100,場所打擁壁工(1)L型擁壁【積上方式】,C:\ProgramData\CoBeing\GaiaCloud\DB\Bugakari\160\000000\160-100.20180401.20180801.json,2,16/32,,32,1000,0.19,
160-89,コンクリート型枠工(直線)【積上方式】,C:\ProgramData\CoBeing\GaiaCloud\DB\Bugakari\160\000000\160-89.20180401.20180801.json,1,1,,1,1000,0.03,
32-15061,総合解析取りまとめ,C:\ProgramData\CoBeing\GaiaCloud\DB\Bugakari\32\015000\32-15061.20150401.20150401.json,1,1,,1,1000,0.03,
6074-401,公園樹木調整工,C:\ProgramData\CoBeing\GaiaCloud\DB\Bugakari\6074\000000\6074-401.20210401.20220401.json,1,1,,1,1000,0.04,
32-12798,A-43 管きょ洗浄工,C:\ProgramData\CoBeing\GaiaCloud\DB\Bugakari\32\012000\32-12798.20230401.20230401.json,1,4,,4,1000,0.04,
224-2527,設計協議,C:\ProgramData\CoBeing\GaiaCloud\DB\Bugakari\224\002000\224-2527.20210401.20210401.json,1,2,,2,1000,0.06,
224-374,設計計画,C:\ProgramData\CoBeing\GaiaCloud\DB\Bugakari\224\000000\224-374.20170401.20170401.json,1,1,,1,1000,0.03,
5872-24,間詰め路盤工(人力路盤工),C:\ProgramData\CoBeing\GaiaCloud\DB\Bugakari\5872\000000\5872-24.20250401.20251001.json,2,1/2,,2,1000,0.07,
32-29245,自動電話交換機据付(電子式)(監視警報盤・メンテナンスコンソール),C:\ProgramData\CoBeing\GaiaCloud\DB\Bugakari\32\029000\32-29245.20250401.20250401.json,1,1,,1,1000,0.05,
32-29849,除塵設備製作工 ネット形除塵機(セパレートネット),C:\ProgramData\CoBeing\GaiaCloud\DB\Bugakari\32\029000\32-29849.20240401.20240401.json,1,2,,2,1000,0.04,
5771-200,発生土運搬工(2t車 人力積込 硬岩 2.0km以下 DID有),C:\ProgramData\CoBeing\GaiaCloud\DB\Bugakari\5771\000000\5771-200.20140401.20140501.json,1,1,,1,1000,0.03,
160-2266,コンクリート平板舗装費,C:\ProgramData\CoBeing\GaiaCloud\DB\Bugakari\160\002000\160-2266.20210401.20211201.json,1,3,,3,1000,0.06,
32-15624,【H30】屋外管内配線,C:\ProgramData\CoBeing\GaiaCloud\DB\Bugakari\32\015000\32-15624.20180401.20180401.json,1,2,,2,1000,0.09,
32-14217,一般配管用ステンレス鋼鋼管 (冷温水・蒸気還管・給水・給湯・消火) 溶接接合,C:\ProgramData\CoBeing\GaiaCloud\DB\Bugakari\32\014000\32-14217.20260401.20260401.json,2,36/36,,36,1000,0.65,
6362-80,【R4】風倒木伐倒整理,C:\ProgramData\CoBeing\GaiaCloud\DB\Bugakari\6362\000000\6362-80.20210401.20210730.json,1,1,,1,1000,0.05,
224-756,【H22】取付道路詳細設計,C:\ProgramData\CoBeing\GaiaCloud\DB\Bugakari\224\000000\224-756.20100401.20100401.json,1,1,,1,1000,0.04,
6368-73,道路付属物設置工(道路鋲設置)(市場単価),C:\ProgramData\CoBeing\GaiaCloud\DB\Bugakari\6368\000000\6368-73.20240401.20241001.json,1,4,,4,1000,0.47,
99-81,ラフテレーンクレーン排ガス機械の選択(緑本),C:\ProgramData\CoBeing\GaiaCloud\DB\Bugakari\99\000000\99-81.20100401.20100401.json,1,1,,1,1000,0.05,
5771-811,発生土運搬工 下水道用(4t車 0.28m3BH 軟岩 9.0km以下 DID有),C:\ProgramData\CoBeing\GaiaCloud\DB\Bugakari\5771\000000\5771-811.20140401.20140501.json,1,1,,1,1000,0.03,
64-2636,コンクリートレベラー〈コンクリート縦仕上機〉,C:\ProgramData\CoBeing\GaiaCloud\DB\Bugakari\64\002000\64-2636.20180401.20181101.json,1,3456,YES,3456,1000,2.42,
32-1746,小型機械土工(トラクター),C:\ProgramData\CoBeing\GaiaCloud\DB\Bugakari\32\001000\32-1746.20240401.20240401.json,1,18,,18,1000,0.43,
5928-421,落葉樹冬季剪定 整姿 幹周241～270cm,C:\ProgramData\CoBeing\GaiaCloud\DB\Bugakari\5928\000000\5928-421.20170401.20171001.json,2,1/4,,4,1000,0.08,
32-354,プレキャスト集水桝,C:\ProgramData\CoBeing\GaiaCloud\DB\Bugakari\32\000000\32-354.20260401.20260401.json,1,6,,6,1000,0.39,
32-6209,地組工,C:\ProgramData\CoBeing\GaiaCloud\DB\Bugakari\32\006000\32-6209.20240401.20240401.json,2,8/16,,16,1000,0.14,
38-1149,<D-25-1> 土砂圧送ポンプ設備工,C:\ProgramData\CoBeing\GaiaCloud\DB\Bugakari\38\001000\38-1149.20210401.20210401.json,1,4,,4,1000,0.12,
6074-456,分岐管閉止工,C:\ProgramData\CoBeing\GaiaCloud\DB\Bugakari\6074\000000\6074-456.20200401.20201101.json,2,6/6,,6,1000,0.18,
32-14819,間隙水圧測定(水頭測定),C:\ProgramData\CoBeing\GaiaCloud\DB\Bugakari\32\014000\32-14819.20150401.20150401.json,1,1,,1,1000,0.04,
64-1464,【H26】汚濁防止膜賃料,C:\ProgramData\CoBeing\GaiaCloud\DB\Bugakari\64\001000\64-1464.20180401.20181001.json,1,1,,1,1000,0.09,
160-2301,ICTバックホウ浚渫船運転費,C:\ProgramData\CoBeing\GaiaCloud\DB\Bugakari\160\002000\160-2301.20240401.20241001.json,1,1,,1,1000,0.04,
5922-105,〈D-15-1〉薬液注入工(二重管ストレーナ工法),C:\ProgramData\CoBeing\GaiaCloud\DB\Bugakari\5922\000000\5922-105.20230401.20230701.json,1,32,,32,1000,1.39,
6339-428,【福岡市】高濃度泥水(泥濃式推進),C:\ProgramData\CoBeing\GaiaCloud\DB\Bugakari\6339\000000\6339-428.20170401.20171001.json,1,2,,2,1000,0.04,
6439-566,(県・参考)転石空積工,C:\ProgramData\CoBeing\GaiaCloud\DB\Bugakari\6439\000000\6439-566.20220401.20230401.json,2,3/6,,6,1000,0.1,
6439-437,水19-22　宅内給水管取替工,C:\ProgramData\CoBeing\GaiaCloud\DB\Bugakari\6439\000000\6439-437.20070401.20071001.json,1,1,,1,1000,0.03,
5771-1179,基層工 再生粗粒As20 t=5cm PK-4 人力 振動ローラ 振動コンパクタ,C:\ProgramData\CoBeing\GaiaCloud\DB\Bugakari\5771\001000\5771-1179.20140401.20140501.json,1,1,,1,1000,0.03,
6352-73,不整地運搬車運搬,C:\ProgramData\CoBeing\GaiaCloud\DB\Bugakari\6352\000000\6352-73.20180401.20180730.json,2,126/252,,252,1000,0.66,
32-9379,取付管推進工(圧入方式),C:\ProgramData\CoBeing\GaiaCloud\DB\Bugakari\32\009000\32-9379.20130401.20130401.json,1,1728,YES,1728,1000,0.64,
32-2828,覆道防水工,C:\ProgramData\CoBeing\GaiaCloud\DB\Bugakari\32\002000\32-2828.20180401.20180401.json,1,8,,8,1000,0.07,
32-8243,〈C-15-1-1〉劣化部除去工,C:\ProgramData\CoBeing\GaiaCloud\DB\Bugakari\32\008000\32-8243.20230401.20230401.json,2,8/8,,8,1000,0.12,
6096-79,【旧】一次覆工(滋賀県独自),C:\ProgramData\CoBeing\GaiaCloud\DB\Bugakari\6096\000000\6096-79.20180401.20180801.json,1,2048,YES,2048,1000,0.67,
32-4800,【H19】ずい道工 掘削,C:\ProgramData\CoBeing\GaiaCloud\DB\Bugakari\32\004000\32-4800.20180401.20180401.json,1,112,,112,1000,1.55,
64-1154,【H26】はしご胴木基礎工,C:\ProgramData\CoBeing\GaiaCloud\DB\Bugakari\64\001000\64-1154.20180401.20181001.json,2,32/32,,32,1000,0.61,
5937-400,模擬管組立・解体工,C:\ProgramData\CoBeing\GaiaCloud\DB\Bugakari\5937\000000\5937-400.20260401.20260401.json,1,1,,1,1000,0.05,
32-4103,【H21】定着装置固定工(ボンド)(縦締),C:\ProgramData\CoBeing\GaiaCloud\DB\Bugakari\32\004000\32-4103.20180401.20180401.json,1,2,,2,1000,0.05,
5941-29,【H24】クレーン装置付トラック運転費(新潟市),C:\ProgramData\CoBeing\GaiaCloud\DB\Bugakari\5941\000000\5941-29.20170401.20171001.json,1,1,,1,1000,0.05,
64-1651,【H27】トンネル地質解析(地質解析),C:\ProgramData\CoBeing\GaiaCloud\DB\Bugakari\64\001000\64-1651.20170401.20171001.json,1,1,,1,1000,0.04,
5809-31,マンホール外副管設置工,C:\ProgramData\CoBeing\GaiaCloud\DB\Bugakari\5809\000000\5809-31.20240401.20240701.json,1,1,,1,1000,0.04,
6136-291,巣網剪除,C:\ProgramData\CoBeing\GaiaCloud\DB\Bugakari\6136\000000\6136-291.20130401.20131001.json,1,1,,1,1000,0.03,
5938-13,間詰コンクリート人力打設工,C:\ProgramData\CoBeing\GaiaCloud\DB\Bugakari\5938\000000\5938-13.20170401.20171001.json,1,1,,1,1000,0.03,
32-9014,【H25】〈E-7〉強力吸引車運転費,C:\ProgramData\CoBeing\GaiaCloud\DB\Bugakari\32\009000\32-9014.20160401.20160401.json,1,1,,1,1000,0.03,
32-4840,【H30】不陸整正【積上方式】,C:\ProgramData\CoBeing\GaiaCloud\DB\Bugakari\32\004000\32-4840.20180401.20180401.json,1,24,,24,1000,0.65,
32-11692,製作工数 スルースバルブ,C:\ProgramData\CoBeing\GaiaCloud\DB\Bugakari\32\011000\32-11692.20180401.20180401.json,1,1,,1,1000,0.03,
5728-117,F-8-2 ます設置工 塩ビます H=2.5m以下,C:\ProgramData\CoBeing\GaiaCloud\DB\Bugakari\5728\000000\5728-117.20180401.20181001.json,1,1,,1,1000,0.03,
32-5292,ケーソン据付準備(吊降し方式),C:\ProgramData\CoBeing\GaiaCloud\DB\Bugakari\32\005000\32-5292.20260401.20260401.json,2,8/8,,8,1000,0.49,
64-2452,【H30】インターロッキングブロック用シート設置,C:\ProgramData\CoBeing\GaiaCloud\DB\Bugakari\64\002000\64-2452.20180401.20181101.json,1,2,,2,1000,0.04,
5952-7,作業計画,C:\ProgramData\CoBeing\GaiaCloud\DB\Bugakari\5952\000000\5952-7.20220401.20220815.json,1,1,,1,1000,0.02,
5776-162,鋼製枠詰石工,C:\ProgramData\CoBeing\GaiaCloud\DB\Bugakari\5776\000000\5776-162.20060401.20061001.json,1,16,,16,1000,0.07,
5928-1361,素地ごしらえ 鉄面,C:\ProgramData\CoBeing\GaiaCloud\DB\Bugakari\5928\001000\5928-1361.20160401.20170101.json,1,1,,1,1000,0.03,
6154-45,車止工,C:\ProgramData\CoBeing\GaiaCloud\DB\Bugakari\6154\000000\6154-45.20190401.20191001.json,1,1,,1,1000,0.04,
6250-35,【H24】抱きコンクリート基礎工,C:\ProgramData\CoBeing\GaiaCloud\DB\Bugakari\6250\000000\6250-35.20180401.20180701.json,1,48,,48,1000,0.23,
224-2585,(個別)管理施設用小容量光伝送装置WDM型(子局SPON),C:\ProgramData\CoBeing\GaiaCloud\DB\Bugakari\224\002000\224-2585.20200401.20201101.json,1,1,,1,1000,0.05,
32-1150,不陸整正(ICT),C:\ProgramData\CoBeing\GaiaCloud\DB\Bugakari\32\001000\32-1150.20260401.20260401.json,1,2,,2,1000,0.23,
64-1447,【H26】鋼管杭現場取卸し【積上方式】,C:\ProgramData\CoBeing\GaiaCloud\DB\Bugakari\64\001000\64-1447.20180401.20181001.json,1,1,,1,1000,0.04,
38-4776,〈C-2-8'〉掘進機分割搬出工,C:\ProgramData\CoBeing\GaiaCloud\DB\Bugakari\38\004000\38-4776.20220401.20220401.json,1,12,,12,1000,0.55,
