提案ID,テスト区分,根拠カテゴリ,根拠ID,差分概要,テスト軸,入力値,期待確認内容,備考
P-068,差分,計算表,計算表変数:170,計算表変数「Cem」削除,任意,任意,「Cem」を使っていた計算に影響がないこと,削除変数: 
P-069,差分,計算表,計算表変数:171,計算表変数「CD:171」削除,任意,任意,「CD:171」を使っていた計算に影響がないこと,削除変数: 
P-070,差分,計算表,計算表変数:197,計算表変数「sfk2」削除,任意,任意,「sfk2」を使っていた計算に影響がないこと,削除変数: 
P-071,差分,計算表,計算表変数:198,計算表変数「MIF_N」削除,任意,任意,「MIF_N」を使っていた計算に影響がないこと,削除変数: 1.0
P-072,差分,計算表,計算表変数:202,計算表変数「CD:202」削除,任意,任意,「CD:202」を使っていた計算に影響がないこと,削除変数: 
P-073,差分,計算表,計算表変数:233,計算表変数「CD:233」削除,任意,任意,「CD:233」を使っていた計算に影響がないこと,削除変数: 
P-074,差分,計算表,計算表変数:237,計算表変数「CD:237」削除,任意,任意,「CD:237」を使っていた計算に影響がないこと,削除変数: 
P-075,差分,計算表,計算表変数:240,計算表変数「LE_N1」削除,任意,任意,「LE_N1」を使っていた計算に影響がないこと,削除変数: 2.0
P-076,差分,計算表,計算表変数:249,計算表変数「D4R2」削除,任意,任意,「D4R2」を使っていた計算に影響がないこと,"削除変数: Sb * AT * if(wb == 1, 1, 0)"
P-077,差分,計算表,計算表変数:250,計算表変数「D6R2」削除,任意,任意,「D6R2」を使っていた計算に影響がないこと,削除変数: Z1a
P-078,差分,質問,質問No:1,質問「省庁区分」表示名変更,省庁区分,任意,質問の表示名が「省庁区分」になっていること,表示名変更: 「省庁区分」→「省庁区分」
P-079,差分,質問,質問No:10,質問「敷材料の種類」表示名変更,敷材料の種類,任意,質問の表示名が「敷材料の種類」になっていること,表示名変更: 「敷材料の種類」→「敷材料の種類」
P-080,差分,質問,質問No:80,質問「工種区分」表示名変更,工種区分,任意,質問の表示名が「工種区分」になっていること,表示名変更: 「工種区分」→「工種区分」
P-081,差分,質問,質問No:81,質問「工種区分」表示名変更,工種区分,任意,質問の表示名が「工種区分」になっていること,表示名変更: 「工種区分」→「工種区分」
P-082,差分,質問,質問No:82,質問「作業区分分岐」表示名変更,作業区分分岐,任意,質問の表示名が「作業区分分岐」になっていること,表示名変更: 「作業区分分岐」→「作業区分分岐」
P-083,差分,質問,質問No:83,質問「作業区分」表示名変更,作業区分,任意,質問の表示名が「作業区分」になっていること,表示名変更: 「作業区分」→「作業区分」
P-084,差分,質問,質問No:84,質問「作業区分」表示名変更,作業区分,任意,質問の表示名が「作業区分」になっていること,表示名変更: 「作業区分」→「作業区分」
P-085,差分,質問,質問No:86,質問「再設置作業区分」表示名変更,再設置作業区分,任意,質問の表示名が「再設置作業区分」になっていること,表示名変更: 「再設置作業区分」→「再設置作業区分」
P-086,差分,質問,質問No:87,質問「再設置作業区分」表示名変更,再設置作業区分,任意,質問の表示名が「再設置作業区分」になっていること,表示名変更: 「再設置作業区分」→「再設置作業区分」
P-087,差分,質問,質問No:88,質問「再設置作業区分」表示名変更,再設置作業区分,任意,質問の表示名が「再設置作業区分」になっていること,表示名変更: 「再設置作業区分」→「再設置作業区分」
P-088,差分,質問,質問No:89,質問「控除単価の金額判定」表示名変更,控除単価の金額判定,任意,質問の表示名が「控除単価の金額判定」になっていること,表示名変更: 「控除単価の金額判定」→「控除単価の金額判定」
P-089,差分,質問,質問No:90,質問「規格区分」表示名変更,規格区分,任意,質問の表示名が「規格区分」になっていること,表示名変更: 「規格区分」→「規格区分」
P-090,差分,質問,質問No:91,質問「控除単価の金額判定」表示名変更,控除単価の金額判定,任意,質問の表示名が「控除単価の金額判定」になっていること,表示名変更: 「控除単価の金額判定」→「控除単価の金額判定」
P-091,差分,質問,質問No:92,質問「施工規模選択区分」表示名変更,施工規模選択区分,任意,質問の表示名が「施工規模選択区分」になっていること,表示名変更: 「施工規模選択区分」→「施工規模選択区分」
P-092,差分,質問,質問No:93,質問「再使用時の施工規模による加算」表示名変更,再使用時の施工規模による加算,任意,質問の表示名が「再使用時の施工規模による加算」になっていること,表示名変更: 「再使用時の施工規模による加算」→「再使用時の施工規模による加算」
P-093,差分,質問,質問No:94,質問「再使用時の時間的制約を受ける場合の補正」表示名変更,再使用時の時間的制約を受ける場合の補正,任意,質問の表示名が「再使用時の時間的制約を受ける場合の補正」になっていること,表示名変更: 「再使用時の時間的制約を受ける場合の補正」→「再使用時の時間的制約を受ける場合の補正」
