修正方針カテゴリ,修正方針本文,状態,マッチしたstep1行,マッチstep1 ID
質問,(step1側のみ) A=100,diff_only,質問/変更/A=100,質問No:59
質問,(step1側のみ) A=0,diff_only,質問/変更/A=0,質問No:60
質問,(step1側のみ) A=100,diff_only,質問/変更/A=100,質問No:61
質問設定,(step1側のみ) バックホウ運転費 送り変数:FG1,diff_only,質問設定/変更/バックホウ運転費 送り変数:FG1,質問No:13
選択肢,(step1側のみ) (超低・後方バックホウ)排ガス機械の選択,diff_only,選択肢/追加/(超低・後方バックホウ)排ガス機械の選択,質問No:38
選択肢,(step1側のみ) A=0,diff_only,選択肢/追加/A=0,質問No:40
選択肢,(step1側のみ) A=0,diff_only,選択肢/追加/A=0,質問No:40
選択肢,(step1側のみ) A=0,diff_only,選択肢/追加/A=0,質問No:40
選択肢,(step1側のみ) A=0,diff_only,選択肢/追加/A=0,質問No:40
選択肢,(step1側のみ) NFG1=2,diff_only,選択肢/追加/NFG1=2,質問No:45
選択肢,(step1側のみ) NFG1=2,diff_only,選択肢/追加/NFG1=2,質問No:45
選択肢,(step1側のみ) NFG1=2,diff_only,選択肢/追加/NFG1=2,質問No:45
選択肢,(step1側のみ) NFG1=2,diff_only,選択肢/追加/NFG1=2,質問No:45
選択肢,(step1側のみ) NFG1=2,diff_only,選択肢/追加/NFG1=2,質問No:49
選択肢,(step1側のみ) NFG1=2,diff_only,選択肢/追加/NFG1=2,質問No:49
選択肢,(step1側のみ) NFG1=2,diff_only,選択肢/追加/NFG1=2,質問No:49
選択肢,(step1側のみ) NFG1=2,diff_only,選択肢/追加/NFG1=2,質問No:49
選択肢,(step1側のみ) 0=代価表1枚目6行目,diff_only,選択肢/追加/0=代価表1枚目6行目,質問No:53
選択肢,(step1側のみ) 0=代価表1枚目6行目,diff_only,選択肢/追加/0=代価表1枚目6行目,質問No:53
選択肢,(step1側のみ) 0=代価表1枚目6行目,diff_only,選択肢/追加/0=代価表1枚目6行目,質問No:53
選択肢,(step1側のみ) 0=代価表1枚目6行目,diff_only,選択肢/追加/0=代価表1枚目6行目,質問No:53
選択肢,(step1側のみ) Nex=0,diff_only,選択肢/追加/Nex=0,質問No:56
選択肢,(step1側のみ) Nex=0,diff_only,選択肢/追加/Nex=0,質問No:56
選択肢,(step1側のみ) Nex=0,diff_only,選択肢/追加/Nex=0,質問No:56
選択肢,(step1側のみ) Nex=0,diff_only,選択肢/追加/Nex=0,質問No:56
選択肢,(step1側のみ) AT=当り数量,diff_only,選択肢/削除/AT=当り数量,質問No:41
選択肢,(step1側のみ) AT=当り数量,diff_only,選択肢/削除/AT=当り数量,質問No:41
選択肢,(step1側のみ) AT=当り数量,diff_only,選択肢/削除/AT=当り数量,質問No:41
選択肢,(step1側のみ) AT=当り数量,diff_only,選択肢/削除/AT=当り数量,質問No:41
選択肢,(step1側のみ) 終点,diff_only,選択肢/削除/終点,質問No:46
選択肢,(step1側のみ) 終点,diff_only,選択肢/削除/終点,質問No:46
選択肢,(step1側のみ) 終点,diff_only,選択肢/削除/終点,質問No:46
選択肢,(step1側のみ) 終点,diff_only,選択肢/削除/終点,質問No:46
選択肢,(step1側のみ) 砕石,diff_only,選択肢/削除/砕石,質問No:51
選択肢,(step1側のみ) 砕石,diff_only,選択肢/削除/砕石,質問No:51
選択肢,(step1側のみ) 砕石,diff_only,選択肢/削除/砕石,質問No:51
選択肢,(step1側のみ) 砕石,diff_only,選択肢/削除/砕石,質問No:51
選択肢,(step1側のみ) 砂利,diff_only,選択肢/削除/砂利,質問No:54
選択肢,(step1側のみ) 砂利,diff_only,選択肢/削除/砂利,質問No:54
選択肢,(step1側のみ) 砂利,diff_only,選択肢/削除/砂利,質問No:54
選択肢,(step1側のみ) 砂利,diff_only,選択肢/削除/砂利,質問No:54
選択肢,(step1側のみ) 代価表1枚目5行目=lease,diff_only,選択肢/削除/代価表1枚目5行目=lease,質問No:57
選択肢,(step1側のみ) 代価表1枚目5行目=lease,diff_only,選択肢/削除/代価表1枚目5行目=lease,質問No:57
選択肢,(step1側のみ) 代価表1枚目5行目=lease,diff_only,選択肢/削除/代価表1枚目5行目=lease,質問No:57
選択肢,(step1側のみ) 代価表1枚目5行目=lease,diff_only,選択肢/削除/代価表1枚目5行目=lease,質問No:57
フロー,(step1側のみ) A=0,diff_only,フロー/変更/A=0,BoxNo:7
フロー,(step1側のみ) AT=当り数量,diff_only,フロー/変更/AT=当り数量,BoxNo:11
フロー,(step1側のみ) 1=代価表1枚目4行目,diff_only,フロー/変更/1=代価表1枚目4行目,BoxNo:13
フロー,(step1側のみ) 0=代価表1枚目4行目,diff_only,フロー/変更/0=代価表1枚目4行目,BoxNo:14
フロー,(step1側のみ) NFG1=1,diff_only,フロー/変更/NFG1=1,BoxNo:24
フロー,(step1側のみ) NFG1=2,diff_only,フロー/変更/NFG1=2,BoxNo:25
フロー,(step1側のみ) 終点,diff_only,フロー/変更/終点,BoxNo:26
フロー,(step1側のみ) NFG1=1,diff_only,フロー/変更/NFG1=1,BoxNo:27
フロー,(step1側のみ) NFG1=1,diff_only,フロー/変更/NFG1=1,BoxNo:28
フロー,(step1側のみ) NFG1=2,diff_only,フロー/変更/NFG1=2,BoxNo:29
フロー,(step1側のみ) 施工機械区分,diff_only,フロー/変更/施工機械区分,BoxNo:32
フロー,(step1側のみ) (超低・後方バックホウ)排ガス機械の選択,diff_only,フロー/変更/(超低・後方バックホウ)排ガス機械の選択,BoxNo:33
フロー,(step1側のみ) Nleas=代価表1枚目数量5行目,diff_only,フロー/変更/Nleas=代価表1枚目数量5行目,BoxNo:36
フロー,(step1側のみ) 砕石,diff_only,フロー/変更/砕石,BoxNo:38
フロー,(step1側のみ) 0.4=代価表1枚目6行目,diff_only,フロー/変更/0.4=代価表1枚目6行目,BoxNo:39
フロー,(step1側のみ) 0=代価表1枚目6行目,diff_only,フロー/変更/0=代価表1枚目6行目,BoxNo:40
フロー,(step1側のみ) 砂利,diff_only,フロー/変更/砂利,BoxNo:48
フロー,(step1側のみ) A=0,diff_only,フロー/変更/A=0,BoxNo:49
フロー,(step1側のみ) Nex=0,diff_only,フロー/変更/Nex=0,BoxNo:52
フロー,(step1側のみ) 代価表1枚目5行目=lease,diff_only,フロー/変更/代価表1枚目5行目=lease,BoxNo:54
フロー,(step1側のみ) A=0,diff_only,フロー/変更/A=0,BoxNo:55
フロー,(step1側のみ) A=100,diff_only,フロー/変更/A=100,BoxNo:56
フロー,(step1側のみ) A=0,diff_only,フロー/変更/A=0,BoxNo:57
フロー,(step1側のみ) A=100,diff_only,フロー/変更/A=100,BoxNo:58
フロー,(step1側のみ) A=10,diff_only,フロー/変更/A=10,BoxNo:60
フロー,(step1側のみ) A=10,diff_only,フロー/変更/A=10,BoxNo:61
フロー,(step1側のみ) (トラッククレーン)賃料長期割引の適用,diff_only,フロー/追加/(トラッククレーン)賃料長期割引の適用,BoxNo:9
---,---,---,---,---
【サマリー】,修正方針項目: 10件,完全マッチ: 3,部分マッチ: 7,未マッチ: 0
,一致率(厳密): 30%,一致率(緩和): 100%,step1のみ(過剰検出候補): 91件,
